file,segments,chars,entities
00001-1994-AA.pdf,1,4215,24
00001-1996-AI.pdf,3,20927,159
00001-1997-AA.pdf,1,6702,32
00001-1997-CC.pdf,2,12335,69
00001-1998-AI.pdf,2,15797,73
00001-1998-HC.pdf,1,7290,20
00001-1999-AA.pdf,1,5091,28
00001-1999-CC.pdf,2,11319,89
00001-2000-CC.pdf,2,14033,84
00001-2001-AI.pdf,3,20848,124
00001-2002-AA.pdf,1,3030,11
00001-2002-AI.pdf,1,9347,76
00001-2003-AC.pdf,1,4916,28
00001-2003-AI.pdf,4,28258,101
00001-2003-CC.pdf,2,12107,93
00001-2004-AI.pdf,11,79530,315
00001-2004-CC.pdf,3,21247,93
00001-2005-AI.pdf,8,57463,211
00001-2007-AA.pdf,1,6725,34
00001-2008-AI.pdf,0,0,0
00001-2009-AI.pdf,22,170601,954
00001-2009-CC.pdf,1,5758,39
00001-2010-AA.pdf,1,6263,39
00001-2010-AI.pdf,0,0,0
00001-2010-CC.pdf,5,35954,122
00001-2012-AI.pdf,0,0,0
00001-2013-AA.pdf,1,6190,34
00001-2013-AI (Incorporación de Litisconsorte).pdf,1,2999,17
00001-2013-AI.pdf,5,43270,200
00001-2013-Q.pdf,1,2829,20
00001-2014-AI (Auto 1 - Admisibilidad).pdf,2,11002,51
00001-2014-AI (Auto 2).pdf,1,1808,11
00001-2014-AI (Auto 3-Reposición).pdf,1,4094,15
00001-2014-AI (Auto 5-Aclaración).pdf,2,9087,45
00001-2014-AI (Auto).pdf,1,1946,13
00001-2014-AI (Resolución 2).pdf,3,18729,52
00001-2014-AI.pdf,14,115425,660
00001-2014-CC (Admisión de la demanda).pdf,1,6519,38
00001-2014-CC (Reposición).pdf,1,5792,45
00001-2014-CC.pdf,3,18984,100
00001-2014-HC.pdf,1,6335,26
00001-2014-Q.pdf,1,3293,24
00001-2015-AI (Auto 1 -Calificación).pdf,1,2430,21
00001-2015-CC (Auto 1 - Calificación).pdf,2,14545,98
00001-2015-Q.pdf,2,16822,80
00001-2016-AI (Admisión de la demanda).pdf,1,1812,15
00001-2016-AI (Auto-Inadmisibilidad).pdf,2,9431,47
00001-2016-CC.pdf,3,18605,125
00001-2016-Q.pdf,1,3489,18
00001-2017-AI (Admisión de la demanda).pdf,1,6916,64
00001-2017-AI.pdf,6,42044,234
00001-2017-CC.pdf,1,6626,59
00001-2017-Q.pdf,1,2694,23
00001-2018-AI (Aclaración).pdf,2,9003,32
00001-2018-AI (Admisión de la demanda).pdf,1,4526,23
00001-2018-CC (Admisión de la demanda).pdf,1,5057,47
00001-2018-CC.pdf,5,32931,301
00001-2018-HC.pdf,2,15735,78
00001-2018-Q (Inadmisibble).pdf,1,3512,24
00001-2018-Q.pdf,1,2961,25
00001-2019-AI (Admisión de la demanda).pdf,1,5242,25
00001-2019-AI.pdf,13,97602,416
00001-2019-CC (Admisión de demanda).pdf,1,2641,23
00001-2019-CC (Inadmisible).pdf,1,4328,32
00001-2019-CC.pdf,6,47333,252
00001-2019-PI.pdf,13,97602,416
00001-2019-Q.pdf,1,6066,36
00001-2020-AI (Admisión de la demanda).pdf,1,3119,14
00001-2020-AI (Inadmisibilidad).pdf,1,8767,26
00001-2020-AI (Nulidad y aclaración).pdf,2,17122,66
00001-2020-AI.pdf,13,94895,308
00001-2020-CC (Aclaración).pdf,2,9363,78
00001-2020-CC (Admisión de la demanda).pdf,1,9041,72
00001-2020-CC (Cautelar).pdf,3,17446,89
00001-2020-CC (Reposición).pdf,1,4094,39
00001-2020-CC.pdf,11,91486,603
00001-2020-Q.pdf,1,4477,25
00001-2021-AI (Admisión de demanda).pdf,1,2714,18
00001-2021-AI (Inadmisbilidad).pdf,1,7765,39
00001-2021-AI.pdf,6,45235,260
00001-2021-CC (Aclaración 1).pdf,2,14781,46
00001-2021-CC (Aclaración 2).pdf,1,6067,34
00001-2021-CC (Acumulación).pdf,1,4478,40
00001-2021-CC (Admisión de demanda).pdf,1,8514,70
00001-2021-CC (Amicus curiae).pdf,3,22974,145
00001-2021-CC (Cautelar).pdf,2,13707,63
00001-2021-CC (Medida cautelar 2).pdf,2,11407,57
00001-2021-CC (Reposición).pdf,1,5245,35
00001-2021-CC (Solicitud de ejecución de sentencia 2).pdf,5,37655,165
00001-2021-CC (Solicitud de ejecución de sentencia).pdf,1,4334,33
00001-2021-CC.pdf,12,88883,295
00001-2021-Q.pdf,1,5397,31
00001-2022-AA (Admisión en el PJ).pdf,1,7632,27
00001-2022-AI (Admisión de la demanda).pdf,2,14143,82
00001-2022-AI (Amicus curiae).pdf,2,8753,43
00001-2022-AI.pdf,29,248051,1403
00001-2022-CC (Aclaración).pdf,2,10222,26
00001-2022-CC (Admisión).pdf,1,8147,35
00001-2022-CC.pdf,21,170894,795
00001-2022-Q.pdf,1,8247,37
00001-2023-AI (Admisión de demanda).pdf,1,7913,54
